"","iso","genre","tmstamp","n","dir"
"84","US","contemporary r&b","2020-01-15 09:07:05",150,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary r%26b""&fmt=json"
"85","US","contra","2020-01-15 09:07:05",17,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contra""&fmt=json"
"86","US","cool jazz","2020-01-15 09:07:05",20,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""cool jazz""&fmt=json"
"87","US","country","2020-01-15 09:07:06",621,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""country""&fmt=json"
"88","US","country blues","2020-01-15 09:07:06",31,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""country blues""&fmt=json"
"89","US","country folk","2020-01-15 09:07:06",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""country folk""&fmt=json"
"90","US","country pop","2020-01-15 09:07:06",78,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""country pop""&fmt=json"
"91","US","country rock","2020-01-15 09:07:17",121,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""country rock""&fmt=json"
"92","US","crossover prog","2020-01-15 09:07:17",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""crossover prog""&fmt=json"
"93","US","crust punk","2020-01-15 09:07:17",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""crust punk""&fmt=json"
"94","US","cumbia","2020-01-15 09:07:18",8,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""cumbia""&fmt=json"
"95","US","d-beat","2020-01-15 09:07:18",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""d-beat""&fmt=json"
"96","US","dance","2020-01-15 09:07:18",505,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dance""&fmt=json"
"97","US","dance-pop","2020-01-15 09:07:18",109,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dance-pop""&fmt=json"
"98","US","dance-punk","2020-01-15 09:07:19",13,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dance-punk""&fmt=json"
"99","US","dancehall","2020-01-15 09:07:19",8,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dancehall""&fmt=json"
"100","US","dark ambient","2020-01-15 09:07:30",56,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dark ambient""&fmt=json"
"101","US","dark electro","2020-01-15 09:07:30",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dark electro""&fmt=json"
"102","US","dark folk","2020-01-15 09:07:30",7,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dark folk""&fmt=json"
"103","US","dark wave","2020-01-15 09:07:30",18,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dark wave""&fmt=json"
"104","US","death metal","2020-01-15 09:07:30",166,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""death metal""&fmt=json"
"105","US","death-doom metal","2020-01-15 09:07:31",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""death-doom metal""&fmt=json"
"106","US","deathcore","2020-01-15 09:07:31",31,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""deathcore""&fmt=json"
"107","US","deathgrind","2020-01-15 09:07:31",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""deathgrind""&fmt=json"
"108","US","deathrock","2020-01-15 09:07:31",11,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""deathrock""&fmt=json"
"109","US","deep house","2020-01-15 09:07:42",14,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""deep house""&fmt=json"
"110","US","delta blues","2020-01-15 09:07:42",23,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""delta blues""&fmt=json"
"111","US","desert rock","2020-01-15 09:07:42",21,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""desert rock""&fmt=json"
"112","US","digital hardcore","2020-01-15 09:07:42",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""digital hardcore""&fmt=json"
